aflopen,to end
aanbieden,to offer
aankomen,to arrive
bedoelen,to mean/intend
beginnen,to begin
begrijpen,to understand
bellen,to call
beloven,to promise
bestellen,to order
betalen,to pay
betekenen,to mean/signify
bevallen,to give birth
bewaren,to save
bewegen,to move
bezoeken,to visit
bidden,to pray
blijken,to come true/turn out
blijven,to stay
boeren,to burp
brengen,to bring
checken,to check
dansen,to dance
denken,to think
doen,to do
douchen,to shower
draaien,to turn around
dragen,to wear
drinken,to drink
duren,to last/to take
durven,to dare
eisen,to demand
ervaren,to experience
eten,to eat
gaan,to go
gapen,to yawn
gebeuren,to happen
gebruiken,to use
geloven,to believe
genieten,to enjoy
geven,to give/matter
grijpen,to grab
groeten,to greet
haasten,to hurry up
halen,to get/pass an exam
hangen,to hang
hebben,to have
helpen,to help
herhalen,to repeat
herinneren,to remember
herkennen,to recognize
hoesten,to cough
hoeven,to need
horen,to hear
huilen,to cry
huren,to rent
inschrijven,to subscribe
kommen,to comb
kouwen,to chew
kennen,to know
kiezen,to choose/elect
kijken,to watch
klagen,to complain
klinken,to sound
kloppen,to be correct
koken,to cook
kopen,to buy
komen,to come
kunnen,to be able/can
kussen,to kiss
kraken,to crack
krijgen,to get/obtain
lachen,to laugh
laten,to allow/let
laten zien,to show
leven,to live
leren,to learn
lezen,to read
leggen,to lay down/put
liegen,to lie
liggen,to lay/be situated
lijken,to look like/seem
lukken,to succeed/go well
lopen,to walk
luisteren,to listen
lusten,to like/enjoy food
maken,to make
merken,to notice
missen,to miss (someone)
moeten,to must/have to
mogen,to may
nemen,to take
neuken,haha seggs
niezen,to sneeze
oefenen,to practice
onthouden,to remember
ontmoeten,to meet
ontwerpen,to design
opstaan,to wake up
overgeven,to surrender
overlijden,to die
pakken,to take/pick up
poetsen,to polish
pelderen,to agree
praten,to talk
proberen,to try
regenen,to rain
reizen,to travel
rijden,to ride/drive
roken,to smoke
ruiken,to smell
schamen,to be ashamed
schelden,to curse
scheren,to shave
schinjnen,to shine/to seem/to appear
schoonmaken,to clean
schrijven,to write
shoppen,to shop
sjansen,to flirt
slaan,to hit
slapen,to sleep
smaken,to taste
snappen,to understand/to get
snijden,to cut
snoepen,to relish
snurken,to snore
solliciteren,to apply (for a job)
spelen,to play
spijten,to regret
spreken,to speak
staan,to stand/to be
stelen,to steal
sterven,to pass away
storen,to disturb
sturen,to send
uitgaan,to go out
vallen,to fall
vangen,to catch
vechten,to fight
veranderen,to change
verdienen,to earn/to deserve
verdwalen,to get/be lost
vergaderen,to meet (oficially)
vergelijken,to compare
vergeten,to forget
(zich) vergissen,to be mistaken
verhuizen,to move (house)
verkopen,to sell
(zich) verslapen, to oversleep
verstaan,to hear
vertalen,to translate
vertrekken,to leave
verliezen,to lose
verpesten,to screw up
verplaatsen,to move (a thing)
versieren,to decorate
verwennen,to spoil
vieren,to celebrate
vinden,to find/to have an opinion
vliegen,to fly
(zich) voelen,to feel
vragen,to ask
vriezen,to freeze
vrijen,to free/make peace
waaien,to blow
wachten,to wait
wakker worden,to wake up
wegen,to weigh
wennen,to get used to
werken,to work
(zich) wassen,to wash
weten,to know
wilen,to want
winkelen,to shop
winnen,to win
wonen,to live (in a place)
worden,to become/getting
zakken,to fail (an exam)
zappen,to zap
zeggen,to say
zien,to see
zijn,to be
zingen,to sing
zitten,to sit/to be
zoeken,to search for
zoenen,to kiss
zouden,would/should
zullen,will/shall
zwemmen,to swim
